   0.0500000000   ,   2.9994375000
   0.1000000000   ,   2.9966277408
   0.1500000000   ,   2.9893467963
   0.2000000000   ,   2.9754439968
   0.2500000000   ,   2.9529216503
   0.3000000000   ,   2.9200380385
   0.3500000000   ,   2.8754221024
   0.4000000000   ,   2.8181836578
   0.4500000000   ,   2.7480003829
   0.5000000000   ,   2.6651637997
   0.5500000000   ,   2.5705717661
   0.6000000000   ,   2.4656639488
   0.6500000000   ,   2.3523072158
   0.7000000000   ,   2.2326469700
   0.7500000000   ,   2.1089456333
   0.8000000000   ,   1.9834296137
   0.8500000000   ,   1.8581617611
   0.9000000000   ,   1.7349493612
   0.9500000000   ,   1.6152903664
   1.0000000000   ,   1.5003545856
   1.0500000000   ,   1.3909928147
   1.1000000000   ,   1.2877654459
   1.1500000000   ,   1.1909824090
   1.2000000000   ,   1.1007476822
   1.2500000000   ,   1.0170034099
   1.3000000000   ,   0.9395704247
   1.3500000000   ,   0.8681834503
   1.4000000000   ,   0.8025203499
   1.4500000000   ,   0.7422255222
   1.5000000000   ,   0.6869279714
   1.5500000000   ,   0.6362547861
